rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
1,official,1,11.652315635094396,,/vercel/next.js,/vercel/next.js,/vercel/next.js,,,,,,,,,,,,,,,,,
2,official,2,3.6001779203914253,0.834358,Better Auth,/better-auth/better-auth,/better-auth/better-auth,3,2134,502435,2026-03-16T03:13:22.273000Z,1d,7.6,True,77.5,repo,https://github.com/better-auth/better-auth,,1.0,0.53229,0.692398,0.76,1.0,0.96081
3,official,3,3.5247477544450594,,/vercel/ai,/vercel/ai,/vercel/ai,,,,,,,,,,,,,,,,,
4,official,4,2.7545460600013323,0.76166,Shadcn UI,/shadcn-ui/ui,/shadcn-ui/ui,16,858,177855,2026-03-05T09:56:58.906000Z,11d,10,True,75.1,repo,https://github.com/shadcn-ui/ui,,0.858754,0.469074,0.637622,1.0,1.0,0.71525
5,official,5,2.3819652403235287,0.80001,Claude Code,/anthropics/claude-code,/anthropics/claude-code,5,740,206600,2026-03-10T23:26:46.165000Z,6d,8.8,True,76.8,repo,https://github.com/anthropics/claude-code,,0.960419,0.458814,0.645524,0.88,1.0,0.824606
6,official,6,2.3245151139332507,,/supabase/supabase,/supabase/supabase,/supabase/supabase,,,,,,,,,,,,,,,,,
7,official,7,2.16316475896247,0.762577,n8n,/n8n-io/n8n-docs,/n8n-io/n8n-docs,22,805,532716,2026-03-14T03:28:56.635000Z,3d,9.7,True,74.4,repo,https://github.com/n8n-io/n8n-docs,,0.829246,0.464653,0.695484,0.97,1.0,0.903265
8,official,8,2.1615447553984617,0.681899,LangGraph,/langchain-ai/langgraph,/langchain-ai/langgraph,54,228,66364,2026-03-11T10:02:39.669000Z,5d,9.2,True,83,repo,https://github.com/langchain-ai/langgraph,,0.744139,0.377281,0.585626,0.92,1.0,0.834738
9,official,9,2.1463747220243885,0.83029,React,/reactjs/react.dev,/reactjs/react.dev,6,2764,859904,2026-03-06T12:00:13.633000Z,10d,10,True,80,repo,https://github.com/reactjs/react.dev,,0.945371,0.550244,0.72074,1.0,1.0,0.734254
10,official,10,1.9915943815076393,,/tailwindlabs/tailwindcss.com,/tailwindlabs/tailwindcss.com,/tailwindlabs/tailwindcss.com,,,,,,,,,,,,,,,,,
11,official,11,1.9310242482533462,,/websites/react_dev,/websites/react_dev,/websites/react_dev,,,,,,,,,,,,,,,,,
12,official,12,1.914694212327267,,/websites/tailwindcss,/websites/tailwindcss,/websites/tailwindcss,,,,,,,,,,,,,,,,,
13,official,13,1.8477040649489427,0.727537,MongoDB,/mongodb/docs,/mongodb/docs,66,10732,2903873,2025-12-28T01:02:17.452000Z,2mo,9.1,True,65.9,repo,https://github.com/mongodb/docs,,0.724873,0.644415,0.78493,0.91,1.0,0.274437
14,official,14,1.5647634424795733,0.844113,Prisma,/prisma/docs,/prisma/docs,7,5275,1398867,2026-03-12T22:30:38.548000Z,4d,10,True,82.6,repo,https://github.com/prisma/docs,,0.932336,0.595106,0.746406,1.0,1.0,0.871586
15,official,15,1.3830030426066937,,/websites/vercel,/websites/vercel,/websites/vercel,,,,,,,,,,,,,,,,,
16,official,16,1.2875128325282317,,/websites/ui_shadcn,/websites/ui_shadcn,/websites/ui_shadcn,,,,,,,,,,,,,,,,,
17,official,17,1.2245626940379268,,/websites/platform_openai,/websites/platform_openai,/websites/platform_openai,,,,,,,,,,,,,,,,,
18,official,18,1.2240726929599246,,/tanstack/query,/tanstack/query,/tanstack/query,,,,,,,,,,,,,,,,,
19,official,19,1.1895826170817576,,/openclaw/openclaw,/openclaw/openclaw,/openclaw/openclaw,,,,,,,,,,,,,,,,,
20,official,20,1.1609925541836192,,/websites/ai-sdk_dev,/websites/ai-sdk_dev,/websites/ai-sdk_dev,,,,,,,,,,,,,,,,,
21,official,21,1.0853023876652528,0.749852,FastAPI,/fastapi/fastapi,/fastapi/fastapi,21,715,227572,2026-03-06T15:53:08.031000Z,10d,9.9,True,80.8,repo,https://github.com/fastapi/fastapi,,0.833586,0.456431,0.650624,0.99,1.0,0.737172
22,official,22,1.074982364961203,0.748201,Payload,/payloadcms/payload,/payloadcms/payload,33,2276,627803,2026-03-04T18:54:41.926000Z,12d,9.4,True,90.1,repo,https://github.com/payloadcms/payload,,0.791091,0.536761,0.704147,0.94,1.0,0.704722
23,official,23,1.0409722901390381,0.790641,Drizzle ORM,/drizzle-team/drizzle-orm-docs,/drizzle-team/drizzle-orm-docs,9,1912,423063,2026-03-15T18:03:11.584000Z,1d,7.6,True,81.5,repo,https://github.com/drizzle-team/drizzle-orm-docs,,0.910553,0.524667,0.683328,0.76,1.0,0.949195
24,official,24,1.0374222823290211,,/websites/developer_apple_swiftui,/websites/developer_apple_swiftui,/websites/developer_apple_swiftui,,,,,,,,,,,,,,,,,
25,official,25,1.0253222557089625,,/websites/ai_google_dev_gemini-api,/websites/ai_google_dev_gemini-api,/websites/ai_google_dev_gemini-api,,,,,,,,,,,,,,,,,
26,official,26,1.0236922521229546,0.690315,FastMCP,/jlowin/fastmcp,/jlowin/fastmcp,49,214,57671,2026-03-15T09:51:02.904000Z,1d,9.3,True,66.3,repo,https://github.com/jlowin/fastmcp,,0.753443,0.3729,0.57822,0.93,1.0,0.939041
27,official,27,0.9969621933168252,0.801335,Expo,/expo/expo,/expo/expo,13,2380,732596,2026-03-11T06:10:56.923000Z,6d,10,True,85.4,repo,https://github.com/expo/expo,,0.877708,0.539862,0.712289,1.0,1.0,0.831017
28,official,28,0.9741321430907147,0.801467,Playwright,/microsoft/playwright,/microsoft/playwright,14,3161,789618,2026-03-10T22:24:10.233000Z,6d,9.9,True,93.4,repo,https://github.com/microsoft/playwright,,0.870973,0.559559,0.716243,0.99,1.0,0.823621
29,official,29,0.9430020746045641,0.705782,Model Context Protocol Typescript SDK,/modelcontextprotocol/typescript-sdk,/modelcontextprotocol/typescript-sdk,17,167,50402,2026-03-06T20:26:50.678000Z,10d,7.8,True,80.9,repo,https://github.com/modelcontextprotocol/typescript-sdk,,0.853175,0.355773,0.571114,0.78,1.0,0.740631
30,official,30,0.932262050976512,0.717812,Pydantic AI,/pydantic/pydantic-ai,/pydantic/pydantic-ai,45,879,282745,2026-03-05T06:26:09.056000Z,12d,9.6,True,71.1,repo,https://github.com/pydantic/pydantic-ai,,0.761583,0.470751,0.662073,0.96,1.0,0.712762
31,official,31,0.9209520260944574,,/supabase/supabase-js,/supabase/supabase-js,/supabase/supabase-js,,,,,,,,,,,,,,,,,
