rank,title,source,marketShare,tokens,snippets,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,popularityRank,docsRepoUrl,docsSiteUrl,libraryId
1,Vercel,/websites/vercel,23.715644016887715,74,0,2026-09-01T22:21:46.322000Z,6d,10,True,72,website,23,https://github.com/context7/vercel,https://vercel.com/docs,/websites/vercel
2,Next.js,/vercel/next.js,15.700814822986848,531056,2417,2026-09-06T08:25:05.634000Z,1d,10,True,93.9,repo,1,https://github.com/vercel/next.js,,/vercel/next.js
3,Better Auth,/better-auth/better-auth,6.425970809180005,421735,2183,2026-09-07T02:32:27.081000Z,1d,7.6,True,79.5,repo,3,https://github.com/better-auth/better-auth,,/better-auth/better-auth
4,Supabase,/supabase/supabase,3.952324167660211,1807000,5649,2026-09-07T10:20:03.492000Z,20h,10,True,80.1,repo,4,https://github.com/supabase/supabase,,/supabase/supabase
5,React,/reactjs/react.dev,3.865991759117402,666241,2519,2026-09-07T08:10:56.150000Z,23h,10,True,81.6,repo,6,https://github.com/reactjs/react.dev,,/reactjs/react.dev
6,Vercel AI SDK,/vercel/ai,3.590774642511111,1083911,4303,2026-09-06T20:06:03.562000Z,1d,10,True,83.8,repo,57,https://github.com/vercel/ai,,/vercel/ai
7,Claude Code,/anthropics/claude-code,3.0290759668561478,168304,938,2026-09-07T23:06:39.026000Z,8h,8.8,True,83,repo,67,https://github.com/anthropics/claude-code,,/anthropics/claude-code
8,Expo,/expo/expo,2.8601829540272563,692805,3283,2026-09-07T12:59:37.172000Z,18h,10,True,85.1,repo,5,https://github.com/expo/expo,,/expo/expo
9,Tailwind CSS,/tailwindlabs/tailwindcss.com,2.8227650700570166,359093,1528,2026-09-07T01:25:20.859000Z,1d,10,True,85.4,repo,16,https://github.com/tailwindlabs/tailwindcss.com,,/tailwindlabs/tailwindcss.com
10,Shadcn UI,/shadcn-ui/ui,2.7568264560013938,332612,2290,2026-09-08T01:00:18.711000Z,6h,10,True,84.6,repo,32,https://github.com/shadcn-ui/ui,,/shadcn-ui/ui
11,OpenCode,/anomalyco/opencode,2.6988731933000976,276721,872,2026-09-07T20:23:29.351000Z,10h,9.6,True,83.8,repo,2,https://github.com/anomalyco/opencode,,/anomalyco/opencode
12,Playwright,/microsoft/playwright,2.230874970238992,671975,3514,2026-09-07T18:12:21.472000Z,13h,9.9,True,96.6,repo,7,https://github.com/microsoft/playwright,,/microsoft/playwright
13,n8n,/n8n-io/n8n-docs,2.227760116873829,606099,1446,2026-09-07T15:02:09.011000Z,16h,9.7,True,82.5,repo,28,https://github.com/n8n-io/n8n-docs,,/n8n-io/n8n-docs
14,OpenClaw,/openclaw/openclaw,2.04300966873138,2625409,4740,2026-09-07T16:08:03.673000Z,15h,7.8,True,81.7,repo,100,https://github.com/openclaw/openclaw,,/openclaw/openclaw
15,TanStack Query,/tanstack/query,2.0261101733829325,246149,1380,2026-07-27T01:43:38.970000Z,1mo,8,True,92.1,repo,27,https://github.com/tanstack/query,,/tanstack/query
16,Drizzle ORM,/drizzle-team/drizzle-orm-docs,2.020112664812555,657367,3547,2026-09-07T07:28:23.256000Z,23h,7.6,True,81.8,repo,18,https://github.com/drizzle-team/drizzle-orm-docs,,/drizzle-team/drizzle-orm-docs
17,Vitest,/vitest-dev/vitest,1.9894455175900865,420380,2457,2026-09-07T04:11:17.075000Z,1d,8.3,True,86.8,repo,8,https://github.com/vitest-dev/vitest,,/vitest-dev/vitest
18,MongoDB,/mongodb/docs,1.914972205313917,138,1,2026-09-03T00:54:14.557000Z,5d,9.1,True,77.8,repo,13,https://github.com/mongodb/docs,,/mongodb/docs
19,Vite,/vitejs/vite,1.739050950619267,117980,536,2026-09-07T05:01:13.753000Z,1d,8.3,True,84.6,repo,24,https://github.com/vitejs/vite,,/vitejs/vite
20,Claude Code,/websites/code_claude,1.6623122904411605,644084,2329,2026-08-25T06:23:57.137000Z,14d,9.9,True,81.5,website,15,https://github.com/context7/code_claude,https://code.claude.com/docs,/websites/code_claude
21,SwiftUI,/websites/developer_apple_swiftui,1.425770325890684,1763655,13618,2026-09-02T03:50:34.527000Z,6d,10,True,91.3,website,44,https://github.com/context7/developer_apple_swiftui,https://developer.apple.com/documentation/SwiftUI,/websites/developer_apple_swiftui
