rank,name,source,installCount,trustScore,verified,benchmarkScore,url
1,frontend-design,/anthropics/skills,2707,8.5,True,97,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/frontend-design/SKILL.md
2,vercel-react-best-practices,/vercel-labs/agent-skills,1407,9.6,True,,https://raw.githubusercontent.com/vercel-labs/agent-skills/refs/heads/main/skills/react-best-practices/SKILL.md
3,senior-frontend,/alirezarezvani/claude-skills,1052,8.9,True,78,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-frontend/SKILL.md
4,skill-creator,/anthropics/skills,1038,8.5,True,72,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/skill-creator/SKILL.md
5,pdf,/anthropics/skills,958,8.5,True,72,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/pdf/SKILL.md
6,webapp-testing,/anthropics/skills,723,8.5,True,100,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/webapp-testing/SKILL.md
7,web-design-guidelines,/vercel-labs/agent-skills,721,9.6,True,97,https://raw.githubusercontent.com/vercel-labs/agent-skills/refs/heads/main/skills/web-design-guidelines/SKILL.md
8,mcp-builder,/anthropics/skills,663,8.5,True,95,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/mcp-builder/SKILL.md
9,gemini-api-dev,/google-gemini/gemini-skills,638,8,True,100,https://raw.githubusercontent.com/google-gemini/gemini-skills/refs/heads/main/skills/gemini-api-dev/SKILL.md
10,web-artifacts-builder,/anthropics/skills,634,8.5,True,98,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/web-artifacts-builder/SKILL.md
11,canvas-design,/anthropics/skills,549,8.5,True,42,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/canvas-design/SKILL.md
12,docx,/anthropics/skills,518,8.5,True,100,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/docx/SKILL.md
13,xlsx,/anthropics/skills,504,8.5,True,72,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/xlsx/SKILL.md
14,theme-factory,/anthropics/skills,472,8.5,True,78,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/theme-factory/SKILL.md
15,pptx,/anthropics/skills,458,8.5,True,94,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/pptx/SKILL.md
16,doc-coauthoring,/anthropics/skills,434,8.5,True,94,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/doc-coauthoring/SKILL.md
17,algorithmic-art,/anthropics/skills,433,8.5,True,92,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/algorithmic-art/SKILL.md
18,brand-guidelines,/anthropics/skills,403,8.5,True,72.5,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/brand-guidelines/SKILL.md
19,template-skill,/anthropics/skills,393,8.5,True,45,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/template/SKILL.md
20,internal-comms,/anthropics/skills,383,8.5,True,62,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/internal-comms/SKILL.md
21,slack-gif-creator,/anthropics/skills,332,8.5,True,100,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/slack-gif-creator/SKILL.md
22,senior-fullstack,/alirezarezvani/claude-skills,296,8.9,True,78,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-fullstack/SKILL.md
23,senior-backend,/alirezarezvani/claude-skills,288,8.9,True,78,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-backend/SKILL.md
24,better-auth-best-practices,/better-auth/skills,287,7.8,True,72,https://raw.githubusercontent.com/better-auth/skills/refs/heads/main/better-auth/best-practices/SKILL.md
25,senior-architect,/alirezarezvani/claude-skills,274,8.9,True,100,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-architect/SKILL.md
26,tailwind-design-system,/wshobson/agents,266,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/frontend-mobile-development/skills/tailwind-design-system/SKILL.md
27,code-reviewer,/alirezarezvani/claude-skills,257,8.9,True,72,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/code-reviewer/SKILL.md
28,nextjs-app-router-patterns,/wshobson/agents,244,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/frontend-mobile-development/skills/nextjs-app-router-patterns/SKILL.md
29,agent-browser,/vercel-labs/agent-browser,244,9.6,True,95,https://raw.githubusercontent.com/vercel-labs/agent-browser/refs/heads/main/skills/agent-browser/SKILL.md
30,cache-components,/vercel/next.js,243,10,True,100,https://raw.githubusercontent.com/vercel/next.js/refs/heads/canary/.claude-plugin/plugins/cache-components/skills/cache-components/SKILL.md
31,react-best-practices,/davila7/claude-code-templates,230,10,True,,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/web-development/react-best-practices/SKILL.md
32,shadcn-ui,/giuseppe-trisciuoglio/developer-kit,227,7.5,True,82,https://raw.githubusercontent.com/giuseppe-trisciuoglio/developer-kit/refs/heads/main/plugins/developer-kit-typescript/skills/shadcn-ui/SKILL.md
33,react-state-management,/wshobson/agents,178,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/frontend-mobile-development/skills/react-state-management/SKILL.md
34,vue,/onmax/nuxt-skills,168,9.6,True,97,https://raw.githubusercontent.com/onmax/nuxt-skills/refs/heads/main/skills/vue/SKILL.md
35,react-native-architecture,/wshobson/agents,165,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/frontend-mobile-development/skills/react-native-architecture/SKILL.md
36,senior-devops,/alirezarezvani/claude-skills,159,8.9,True,53,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-devops/SKILL.md
37,vercel-deploy,/vercel-labs/agent-skills,158,9.6,True,,https://raw.githubusercontent.com/vercel-labs/agent-skills/refs/heads/main/skills/claude.ai/vercel-deploy-claimable/SKILL.md
38,update-docs,/vercel/next.js,142,10,True,100,https://raw.githubusercontent.com/vercel/next.js/refs/heads/canary/.claude/skills/update-docs/SKILL.md
39,architecture-patterns,/wshobson/agents,136,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/backend-development/skills/architecture-patterns/SKILL.md
40,typescript-advanced-types,/wshobson/agents,135,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/javascript-typescript/skills/typescript-advanced-types/SKILL.md
41,vercel-react-native-skills,/vercel-labs/agent-skills,133,9.6,True,,https://raw.githubusercontent.com/vercel-labs/agent-skills/refs/heads/main/skills/react-native-skills/SKILL.md
42,code-review,/agno-agi/agno,133,9.5,True,88,https://raw.githubusercontent.com/agno-agi/agno/refs/heads/main/cookbook/02_agents/16_skills/sample_skills/code-review/SKILL.md
43,postgresql-table-design,/wshobson/agents,129,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/database-design/skills/postgresql/SKILL.md
44,ui-design-system,/alirezarezvani/claude-skills,128,8.9,True,100,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/product-team/ui-design-system/SKILL.md
45,senior-architect,/sickn33/antigravity-awesome-skills,127,6.8,True,,https://raw.githubusercontent.com/sickn33/antigravity-awesome-skills/refs/heads/main/skills/senior-architect/SKILL.md
46,remotion-best-practices,/remotion-dev/skills,127,8.3,True,,https://raw.githubusercontent.com/remotion-dev/skills/refs/heads/main/skills/remotion/SKILL.md
47,dotnet-backend-patterns,/wshobson/agents,124,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/dotnet-contribution/skills/dotnet-backend-patterns/SKILL.md
48,senior-security,/alirezarezvani/claude-skills,121,8.9,True,90,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-security/SKILL.md
49,epic-react-best-practices,/rubenpenap/epic-stack-agent-skills,120,7.1,True,,https://raw.githubusercontent.com/rubenpenap/epic-stack-agent-skills/refs/heads/main/skills/epic-react-patterns/SKILL.md
50,supabase-nextjs,/alinaqi/claude-bootstrap,120,8.7,True,81,https://raw.githubusercontent.com/alinaqi/claude-bootstrap/refs/heads/main/skills/supabase-nextjs/SKILL.md
51,claude-automation-recommender,/anthropics/claude-plugins-official,117,8.5,True,72,https://raw.githubusercontent.com/anthropics/claude-plugins-official/refs/heads/main/plugins/claude-code-setup/skills/claude-automation-recommender/SKILL.md
52,create-auth-skill,/better-auth/skills,116,7.8,True,95,https://raw.githubusercontent.com/better-auth/skills/refs/heads/main/better-auth/create-auth/SKILL.md
53,vercel-composition-patterns,/vercel-labs/agent-skills,115,9.6,True,100,https://raw.githubusercontent.com/vercel-labs/agent-skills/refs/heads/main/skills/composition-patterns/SKILL.md
54,react-native-design,/wshobson/agents,114,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/ui-design/skills/react-native-design/SKILL.md
55,frontend-patterns,/affaan-m/everything-claude-code,112,9.4,True,95,https://raw.githubusercontent.com/affaan-m/everything-claude-code/refs/heads/main/skills/frontend-patterns/SKILL.md
56,fastapi-templates,/wshobson/agents,107,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/api-scaffolding/skills/fastapi-templates/SKILL.md
57,building-native-ui,/expo/skills,107,10,True,72,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-app-design/skills/building-native-ui/SKILL.md
58,senior-data-engineer,/alirezarezvani/claude-skills,107,8.9,True,72,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-data-engineer/SKILL.md
59,react-modernization,/wshobson/agents,105,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/framework-migration/skills/react-modernization/SKILL.md
60,expo-tailwind-setup,/expo/skills,104,10,True,72,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-app-design/skills/expo-tailwind-setup/SKILL.md
61,api-design-principles,/wshobson/agents,103,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/backend-development/skills/api-design-principles/SKILL.md
62,laravel,/rawveg/skillsforge-marketplace,101,9,True,93,https://raw.githubusercontent.com/rawveg/skillsforge-marketplace/refs/heads/main/laravel/SKILL.md
63,frontend-design,/anthropics/claude-code,100,8.8,True,72,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/frontend-design/skills/frontend-design/SKILL.md
64,rag-implementation,/wshobson/agents,96,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/llm-application-dev/skills/rag-implementation/SKILL.md
65,responsive-design,/wshobson/agents,95,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/ui-design/skills/responsive-design/SKILL.md
66,next-best-practices,/vercel-labs/next-skills,95,9.6,True,,https://raw.githubusercontent.com/vercel-labs/next-skills/refs/heads/main/skills/next-best-practices/SKILL.md
67,aws-solution-architect,/alirezarezvani/claude-skills,95,8.9,True,72,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/aws-solution-architect/SKILL.md
68,nextjs,/jezweb/claude-skills,91,9.7,True,72,https://raw.githubusercontent.com/jezweb/claude-skills/refs/heads/main/skills/nextjs/SKILL.md
69,senior-prompt-engineer,/alirezarezvani/claude-skills,89,8.9,True,95,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-prompt-engineer/SKILL.md
70,senior-qa,/davila7/claude-code-templates,88,10,True,97,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/development/senior-qa/SKILL.md
71,senior-frontend,/davila7/claude-code-templates,88,10,True,82,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/development/senior-frontend/SKILL.md
72,context7,/intellectronica/agent-skills,87,,False,100,https://raw.githubusercontent.com/intellectronica/agent-skills/refs/heads/main/skills/context7/SKILL.md
73,expo-deployment,/expo/skills,87,10,True,95,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-deployment/skills/expo-deployment/SKILL.md
74,auth-implementation-patterns,/wshobson/agents,85,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/developer-essentials/skills/auth-implementation-patterns/SKILL.md
75,nuxt-ui,/onmax/nuxt-skills,85,9.6,True,82,https://raw.githubusercontent.com/onmax/nuxt-skills/refs/heads/main/skills/nuxt-ui/SKILL.md
76,nodejs-backend-patterns,/wshobson/agents,82,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/javascript-typescript/skills/nodejs-backend-patterns/SKILL.md
