rank,name,skillId,source,installCount,detailPath,detailUrl
1,find-skills,find-skills,/vercel-labs/skills,592962,vercel-labs/skills/find-skills,https://skills.sh/vercel-labs/skills/find-skills
2,vercel-react-best-practices,vercel-react-best-practices,/vercel-labs/agent-skills,219935,vercel-labs/agent-skills/vercel-react-best-practices,https://skills.sh/vercel-labs/agent-skills/vercel-react-best-practices
3,web-design-guidelines,web-design-guidelines,/vercel-labs/agent-skills,174248,vercel-labs/agent-skills/web-design-guidelines,https://skills.sh/vercel-labs/agent-skills/web-design-guidelines
4,frontend-design,frontend-design,/anthropics/skills,168187,anthropics/skills/frontend-design,https://skills.sh/anthropics/skills/frontend-design
5,remotion-best-practices,remotion-best-practices,/remotion-dev/skills,152801,remotion-dev/skills/remotion-best-practices,https://skills.sh/remotion-dev/skills/remotion-best-practices
6,azure-ai,azure-ai,/microsoft/github-copilot-for-azure,138914,microsoft/github-copilot-for-azure/azure-ai,https://skills.sh/microsoft/github-copilot-for-azure/azure-ai
7,azure-deploy,azure-deploy,/microsoft/github-copilot-for-azure,138491,microsoft/github-copilot-for-azure/azure-deploy,https://skills.sh/microsoft/github-copilot-for-azure/azure-deploy
8,azure-storage,azure-storage,/microsoft/github-copilot-for-azure,138471,microsoft/github-copilot-for-azure/azure-storage,https://skills.sh/microsoft/github-copilot-for-azure/azure-storage
9,azure-cost-optimization,azure-cost-optimization,/microsoft/github-copilot-for-azure,138460,microsoft/github-copilot-for-azure/azure-cost-optimization,https://skills.sh/microsoft/github-copilot-for-azure/azure-cost-optimization
10,azure-diagnostics,azure-diagnostics,/microsoft/github-copilot-for-azure,138406,microsoft/github-copilot-for-azure/azure-diagnostics,https://skills.sh/microsoft/github-copilot-for-azure/azure-diagnostics
11,entra-app-registration,entra-app-registration,/microsoft/github-copilot-for-azure,138302,microsoft/github-copilot-for-azure/entra-app-registration,https://skills.sh/microsoft/github-copilot-for-azure/entra-app-registration
12,appinsights-instrumentation,appinsights-instrumentation,/microsoft/github-copilot-for-azure,138280,microsoft/github-copilot-for-azure/appinsights-instrumentation,https://skills.sh/microsoft/github-copilot-for-azure/appinsights-instrumentation
13,azure-compliance,azure-compliance,/microsoft/github-copilot-for-azure,138275,microsoft/github-copilot-for-azure/azure-compliance,https://skills.sh/microsoft/github-copilot-for-azure/azure-compliance
14,azure-rbac,azure-rbac,/microsoft/github-copilot-for-azure,138262,microsoft/github-copilot-for-azure/azure-rbac,https://skills.sh/microsoft/github-copilot-for-azure/azure-rbac
15,azure-aigateway,azure-aigateway,/microsoft/github-copilot-for-azure,138262,microsoft/github-copilot-for-azure/azure-aigateway,https://skills.sh/microsoft/github-copilot-for-azure/azure-aigateway
16,azure-resource-visualizer,azure-resource-visualizer,/microsoft/github-copilot-for-azure,138261,microsoft/github-copilot-for-azure/azure-resource-visualizer,https://skills.sh/microsoft/github-copilot-for-azure/azure-resource-visualizer
17,azure-prepare,azure-prepare,/microsoft/github-copilot-for-azure,138259,microsoft/github-copilot-for-azure/azure-prepare,https://skills.sh/microsoft/github-copilot-for-azure/azure-prepare
18,azure-kusto,azure-kusto,/microsoft/github-copilot-for-azure,138255,microsoft/github-copilot-for-azure/azure-kusto,https://skills.sh/microsoft/github-copilot-for-azure/azure-kusto
19,azure-validate,azure-validate,/microsoft/github-copilot-for-azure,138253,microsoft/github-copilot-for-azure/azure-validate,https://skills.sh/microsoft/github-copilot-for-azure/azure-validate
20,azure-resource-lookup,azure-resource-lookup,/microsoft/github-copilot-for-azure,138237,microsoft/github-copilot-for-azure/azure-resource-lookup,https://skills.sh/microsoft/github-copilot-for-azure/azure-resource-lookup
